Nome da Escola,Número de Alunos
GUSTAVO AUGUSTO LIMA PROFESSOR EEEP,313
GUSTAVO BARROSO EEM,155
HECKEL TAVARES EE,74
HELCY MOREIRA MARTINS AGUIAR PROFESSORA ETEC,109
HELENITA MOTA EEFM,20
HORACIO TEIXEIRA MONSENHOR EEM,310
HUMBERTO DE ALENCAR CASTELO BRANCO PRESIDENTE EEM,70
ICARO DE SOUSA MOREIRA EEEP,270
IDIO ZUCCHI PROFESSOR ETEC,80
IRACI PEREIRA DE ALCANTARA PROFESSORA EEM,8
IRAUCUBA DE EEMTI,385
IRMA ANA ZELIA DA FONSECA EEEP,360
ISAIAS GONCALVES DAMASCENO EEEP,236
IVAN PEREIRA DE CARVALHO PROFESSOR COLEGIO ESTADUAL EEM,115
JAIME LAURINDO DA SILVA EEM,503
JOAO ALMIR DE FREITAS BRANDAO DOUTOR EEM,490
JOAO ALVES MOREIRA EEM,367
JOAO BATISTA MORENO EMEIF,89
JOAO BATISTA VILANOVA ARTIGAS PROFESSOR EE,142
JOAO CHAGAS MOTA EMTI,143
JOAO DA SILVA RAMOS CEJA,40
JOAQUIM ANTO FURTADO MAJOR EEF,30
JOAQUIM BASTOS GONCALVES EEM,196
JOAQUIM FERREIRA EMEIFTI,38
JOAQUIM FILOMENO NORONHA EEEP,711
JOAQUIM MAGALHAES EEM,80
JOAQUIM MOREIRA DE SOUSA EEEP,556
JOAQUIM PEREIRA LIMA EEB,60
JORGE GOMES DE FIGUEIREDO EMTI,20
JORGE STREET ETEC,6
JOSE ALEXANDRE EEM,315
JOSE ALOYSIO PINTO MONSENHOR EEEP,360
JOSE ALVES DA SILVEIRA DOUTOR EEEP,257
JOSE ALVES DE MACEDO PADRE EEM,500
JOSE AUGUSTO DA SILVA MONSENHOR EEM,800
JOSE AUGUSTO REGIS ALVES PADRE EEM,67
JOSE AUGUSTO TORRES PROFESSOR EEEP,479
JOSE BEZERRA MENEZES EEF,265
JOSE CARNEIRO DA CUNHA MONSENHOR EEM,350
JOSE CESARIO EEIF,28
JOSE CORREIA LIMA EEM,579
JOSE EUCLIDES FERREIRA GOMES JUNIOR PREFEITO EEMTI,356
JOSE FERREIRA BARBOSA EEM,258
JOSE FIDELES DE MOURA EEM,80
JOSE GONDIM DOUTOR LICEU,545
JOSE IRAN COSTA DOUTOR EEEP,665
JOSE MARIA FALCAO EEEP,360
JOSE MARIA MELO DEPUTADO EEEP,345
JOSE MARIA MONTEIRO PREFEITO EEMTI,188
JOSE MARIA PONTES DA ROCHA EEM,25
JOSE MARTIMIANO DA SILVA ETEC,29
JOSE MATIAS SAMPAIO EEF,24
JOSE NI MOREIRA LICEU,212
JOSE NILTON SALVINO FRANCO EEMTI,169
JOSE PINTO QUEZADO TABELIAO EEM,350
JOSE RIBEIRO DAMASCENO EEEP,360
JOSE ROCHA MENDES ETEC,67
JOSE TELES DE CARVALHO PROFESSOR EEM,41
JOSE VICTOR FONTENELLE FILHO EEEP,350
JOSE VIDAL ALVES EEEP,180
JOSE WALFRIDO MONTEIRO DEPUTADO EEEP,677
JOSEFA BRAGA BARROSO EEM,663
JULIA ALENQUER FONTENELE EEM,120
JULIA CATUNDA EEM,100
JULIO CARDOSO DOUTOR ETEC,160
JULIO FRANCA EEEP,360
JUSCELINO KUBITSCHEK ETEC,20
JUVENAL RODRIGUES BRANDAO EEF,210
LAURO GOMES ETEC,120
LEANDRO ALVES CORREIA EMEIF,104
LEOPOLDINA GONCALVES QUEZADO EEEP,300
LIA SIDOU EEM,130
LIDIA CARNEIRO DE BARROS PROFESSORA EEMTI,80
LIONS CLUB EEM,500
LUCAS EMMANUEL LIMA PINHEIRO EEEP,358
LUCIA HELENA VIANA RIBEIRO EEEP,570
LUIS FELIPE PROFESSOR EEM,120
LUIS FILGUEIRAS PADRE EEM,806
LUIS XIMENES FREIRE MONSENHOR EEEP,360
LUIZ FELIPE CORONEL EEM,240
LUIZ GIRAO EEM,30
LUIZ GONZAGA DA FONSECA MOTA GOVERNADOR EEEP,270
LUIZ GONZAGA DA FONSECA MOTA PROFESSOR EEM,350
LUIZ GONZAGA FONSECA MOTA EEEP,390
LUIZ GONZAGA XAVIER DE LIMA PADRE CEJA,40
LUIZA DE TEODORO VIEIRA PROFESSORA EEEP,534
LUIZA TAVORA EEM,660
LUZIA ARAUJO BARROS EEM,300
LUZIA ARAUJO BARROS EXTENSAO CARVOEIRO EEM,194
LUZIA MARIA DA CONCEICAO ESCOLA QUILOMBOLA,149
LYSIA PIMENTEL GOMES SAMPAIO SALES PROFESSORA EEEP,711
MAJOR JOAQUIM ANTO FURTADO EEF,57
MANOEL ANTONIO NUNES EMTI,174
MANOEL CARLOS DE MORAIS MONSENHOR EEM,22
MANOEL DE CASTRO FILHO GOVERNADOR EEM,82
MANOEL DE NOBREGA DEPUTADO EE,441
MANOEL MANO EEEP,370
MANOEL RODRIGUES DEPUTADO EEM,167
MARCIONILIO GOMES DE FREITAS LICEU,410
MARCONI COELHO REIS EEM,130
MARIA AFONSINA DINIZ MACEDO PROFESSORA EEM,670
MARIA ALICE RAMOS GOMES EEM,537
MARIA ALTAIR AMERICO SABOIA EEEP,489
MARIA AMELIA PERDIGAO SAMPAIO EEMTI,285
MARIA ANGELA DA SILVEIRA BORGES EEEP,354
MARIA AUDAY VASCONCELOS NERY EEEP,540
MARIA CARMEM VIEIRA MOREIRA EEEP,82
MARIA CAVALCANTE COSTA EEEP,470
MARIA DAS DORES CIDRAO ALEXANDRINO EEM,800
MARIA DAUREA LOPES EEM,280
MARIA DE JESUS RODRIGUES ALVES PROFESSORA EEEP,360
MARIA DO CARMO BEZERRA EEMTI,140
MARIA DOLORES PETROLA EEM,324
MARIA GISELDA COELHO TEIXEIRA EEEP,130
MARIA GONCALVES PROFESSORA EEFM,30
MARIA JOSE COUTINHO EEM,637
MARIA JOSE MAGALHAES EEM,540
MARIA LEAL TEIXEIRA EEM,500
MARIA LUIZA SABOIA RIBEIRO PROFESSORA EEMTI,522
MARIA MARINA SOARES EEM,100
MARIA MOSA DA SILVA EEEP,180
MARIA NAZARE DE SOUSA EEM,80
MARIA NEUSA ARAUJO MOURA EEM,100
MARIA NUBIA VIEIRA NOVAIS PROFESSORA EEF,144
MARIA STELA ROCHA AGUIAR EEM,405
MARIA VIOLETA ARRAES DE ALENCAR GERVAISEAU EEEP,490
MARLY FERREIRA MARTINS PROFESSORA EEEP,370
MARTA MARIA GIFFONI DE SOUSA EEEP,348
MASSUYUKI KAWANO PROFESSOR ETEC,28
MATILDE RODRIGUES VASCONCELOS EEM,510
MAURO SAMPAIO EEFM,325
MELO MONSENHOR EEM,35
MENEZES PIMENTEL EEM,45
MESTRE ZE LUIZ SILVA RAMOS EEF,82
MIGUEL CARNEIRO DA CUNHA EEM,101
MIGUEL PORFIRIO DE LIMA PROFESSOR EEM,250
MINEIROLANDIA DE EEM,417
MIRIAN PORTO MOTA EEMTI,40
MITSUSADA UMETANI DOUTOR EE,60
MOISES BENTO DA SILVA EEM,133
MOREIRA DE SOUSA PROFESSOR EEEP,521
MURILO AGUIAR DEPUTADO EEM,370
NAPOLEAO NEVES DA LUZ DOUTOR EEEP,350
NOEL HUGNEN DE OLIVEIRA PAIVA EEFM,15
NOSSA SENHORA DO LIVRAMENTO EEM,200
ODORICO DE ANDRADE MONSENHOR EEEP,720
OLEGARIO ABREU MEMORIA EEM,25
OLIMPIO SAMPAIO DA SILVA EEM,71
ORLANDO QUAGLIATO ETEC,86
OSSIAN ARARIPE EEF,175
OSVALDO STUDART CORONEL EEM,60
OTAVIO TERCEIRO DE FARIAS PROFESSOR EEM,40
OTILIA CORREIA SARAIVA EEEP,490
PADRE MANUEL PEREIRA ESCOLA,117
PAULO BARBOSA LEITE EEEP,624
PAULO VI EEEP,21
PEDRO DE QUEIROZ LIMA EEEP,193
PEDRO JAIME PROFESSOR EEM,172
PEDRO JORGE MOTA EEM,55
PEDRO LEME BRISOLLA SOBRINHO PROFESSOR ETEC,50
PEDRO MOREIRA MATOS PROFESSOR EE,154
POLIVALENTE MODELO DE FORTALEZA EEFM,0
PREFEITA MEIRY FRANCISCA MEDEIROS EMTI,30
PROFA Mª HERACLIDES LUCENA MIRANDA EEB,400
PROFA SABINA GOMES DE SOUSA EEF,100
RAIMUNDA SILVEIRA DE SOUZA CARNEIRO EEM,130
RAIMUNDO ADJACIR CIDRAO DE OLIVEIRA EEM,182
RAIMUNDO MARQUES NONATO EEM,180
RAIMUNDO NONATO RIBEIRO EEM,315
RAIMUNDO TOMAZ EEM,20
RAUL TAVARES CAVALCANTE EEM,80
REGINA PACIS EEMTI,180
RICARDO DE SOUSA NEVES EEM,320
RIO GRANDE DA SERRA ETEC,7
RITA AGUIAR BARBOSA EEEP,700
RITA MATOS LUNA EEEP,650
RODOLPHO JOSE DEL GUERRA PROFESSOR ETEC,120
RODRIGUES DE ABREU ETEC,105
ROMEU DE CASTRO MENEZES EEM,280
RONALDO CAMINHA BARBOSA EEM,192
ROSA MARTINS CAMELO MELO IBIAPINA EEM,45
ROSANGELA ALBUQUERQUE DE COUTO PROFESSORA EEEP,690
RUI BARBOSA COLEGIO ESTADUAL,16
RUTH CARDOSO DOUTORA ETEC,340
SAO FRANCISCO DA CRUZ EEM,144
SAO JOSE EEM,340
SAO SEBASTIAO EEM,540
SEBASTIAO PEDRO DE ARAUJO EEF,38
SEBASTIAO VASCONCELOS SOBRINHO PROFESSOR EEEP,310
SEBRAE ETEC,95
SIMAO ANGELO EEM,310
TECLA FERREIRA PROFESSORA EEFM,30
TELINA MATOS PIRES EEM,38
TERCIO MORAES PEREIRA REVERENDO EE,90
TEREZA DUTRA EMEIFTI,16
THEOLINA DE MURYLLO ZACAS PROFESSORA EEMTI,260
THEREZA ODETTE DONA EEM,220
TIRADENTES EEM,40
TOMAZ BRANDAO DEPUTADO EEFM,110
TOMAZ POMPEU DE SOUSA BRASIL EEM,920
UBIRATAN DINIZ DE AGUIAR DEPUTADO EEM,198
URUBUPUNGA EE,40
VALDO DE VASCONCELOS RIOS EEM,355
VENCESLAU VIEIRA BATISTA EEEP,679
VICENTE ARRUDA EEM,70
VICENTE DE PAULO DA COSTA EEMTI,590
VIRGILIO CORREIA LIMA EEM,189
VIRGILIO TAVORA GOVERNADOR EEEP,500
VIVINA MONTEIRO EEM,520
WALDEMAR ALCANTARA GOVERNADOR EEEP,139
WALDERI MACHADO DE ALMEIDA EEM,92
WALDIR LEOPERCIO EEM,260
WALDIR LOPES DE CASTRO MONSENHOR EEEP,682
WALFRIDO TEIXEIRA VIEIRA DOM EEEP,576
WALQUER CAVALCANTE MAIA PROFESSOR EEEP,630
WALTER RAMOS DE ARAUJO EEEP,700
WELLINGTON BELEM DE FIGUEIREDO EEEP,650
WILSON GONCALVES EEM,301
WILSON ROBERTO SIMONINI PROFESSOR EE,360
WLADIMIR RORIZ EEM,240
ZELIA DE MATOS BRITO EEM,35
